Wavelength,Intensity
666.948000,5191
666.797000,5224
666.645000,5373
666.493000,5522
666.342000,5249
666.190000,5122
666.038000,5141
665.886000,5333
665.734000,5189
665.583000,5300
665.431000,5476
665.279000,5511
665.127000,5354
664.976000,5355
664.824000,5541
664.672000,5437
664.520000,5399
664.369000,5233
664.217000,5124
664.065000,5285
663.913000,5349
663.762000,5398
663.610000,5198
663.458000,5240
663.306000,5256
663.155000,5066
663.003000,5099
662.851000,5289
662.699000,5264
662.548000,5204
662.396000,5449
662.244000,5382
662.092000,5157
661.941000,5251
661.789000,5328
661.637000,5295
661.485000,5195
661.334000,5243
661.182000,5245
661.030000,5298
660.878000,5283
660.727000,5275
660.575000,5390
660.423000,5493
660.271000,5305
660.120000,5274
659.968000,5319
659.816000,5356
659.664000,5502
659.513000,5582
659.361000,5411
659.209000,5211
659.057000,5283
658.906000,5197
658.754000,5086
658.602000,5236
658.450000,5423
658.299000,5461
658.147000,5406
657.995000,5328
657.843000,5547
657.692000,5509
657.540000,5418
657.388000,5136
657.236000,5102
657.085000,5513
656.933000,5412
656.781000,5315
656.629000,5361
656.478000,5268
656.326000,5257
656.174000,5295
656.022000,5255
655.871000,5337
655.719000,5382
655.567000,5231
655.415000,5282
655.264000,5400
655.112000,5372
654.960000,5292
654.808000,5177
654.657000,5273
654.505000,5294
654.353000,5678
654.201000,5599
654.050000,5248
653.898000,5212
653.746000,5149
653.594000,5162
653.443000,5196
653.291000,5479
653.139000,5505
652.987000,5407
652.836000,5361
652.684000,5299
652.532000,5358
652.380000,5345
652.229000,5256
652.077000,5304
651.925000,5274
651.773000,5355
651.622000,5386
651.470000,5373
651.318000,5269
651.166000,5280
651.015000,5442
650.863000,5229
650.711000,5347
650.559000,5582
650.408000,5374
650.256000,5211
650.104000,5228
649.952000,5398
649.801000,5259
649.649000,5197
649.497000,5267
649.345000,5285
649.194000,5445
649.042000,5314
648.890000,5302
648.738000,5679
648.587000,5872
648.435000,5524
648.283000,5461
648.131000,5454
647.980000,5432
647.828000,5551
647.676000,5376
647.524000,5309
647.373000,5170
647.221000,5231
647.069000,5258
646.917000,5196
646.766000,5567
646.614000,5459
646.462000,5498
646.310000,5692
646.159000,5624
646.007000,5407
645.855000,5279
645.703000,5268
645.552000,5396
645.400000,5529
645.248000,5376
645.096000,5275
644.945000,5383
644.793000,5362
644.641000,5255
644.489000,5441
644.338000,5356
644.186000,5294
644.034000,5316
643.882000,5245
643.731000,5202
643.579000,5310
643.427000,5396
643.275000,5264
643.124000,5108
642.972000,5151
642.820000,5305
642.668000,5223
642.517000,5259
642.365000,5348
642.213000,5354
642.061000,5400
641.910000,5405
641.758000,5289
641.606000,5249
641.454000,5257
641.303000,5265
641.151000,5094
640.999000,5236
640.847000,5209
640.696000,5470
640.544000,5357
640.392000,5361
640.240000,5657
640.089000,5404
639.937000,5360
639.785000,5328
639.633000,5344
639.482000,5318
639.330000,5160
639.178000,5216
639.026000,5294
638.875000,5476
638.723000,5407
638.571000,5267
638.419000,5188
638.268000,5324
638.116000,5131
637.964000,5099
637.812000,5185
637.661000,5245
637.509000,5377
637.357000,5321
637.205000,5192
637.053000,5259
636.902000,5354
636.750000,5284
636.598000,5386
636.447000,5205
636.295000,5373
636.143000,5467
635.991000,5671
635.839000,5507
635.688000,5475
635.536000,5549
635.384000,5399
635.232000,5536
635.081000,5641
634.929000,5477
634.777000,5336
634.625000,5133
634.474000,5130
634.322000,5441
634.170000,5391
634.018000,5136
633.867000,5211
633.715000,5202
633.563000,5263
633.411000,5504
633.260000,5490
633.108000,5267
632.956000,5263
632.804000,5516
632.653000,5892
632.501000,5460
632.349000,5083
632.197000,5031
632.046000,5026
631.894000,5200
631.742000,5425
631.590000,5502
631.439000,5413
631.287000,5452
631.135000,5555
630.983000,5328
630.832000,5572
630.680000,5565
630.528000,5323
630.376000,5455
630.225000,5227
630.073000,5114
629.921000,5113
629.769000,5326
629.618000,5386
629.466000,5231
629.314000,5320
629.162000,5192
629.011000,5337
628.859000,5326
628.707000,5372
628.555000,5351
628.404000,5212
628.252000,5321
628.100000,5400
627.948000,5438
627.797000,5215
627.645000,5390
627.493000,5363
627.341000,5334
627.190000,5350
627.038000,5189
626.886000,5135
626.734000,5275
626.583000,5289
626.431000,5479
626.279000,5450
626.127000,5337
625.976000,5402
625.824000,5374
625.672000,5166
625.520000,5089
625.369000,5290
625.217000,5202
625.065000,5340
624.913000,5721
624.762000,5624
624.610000,5396
624.458000,5262
624.306000,5272
624.155000,5475
624.003000,5396
623.851000,5346
623.699000,5421
623.548000,5481
623.396000,5535
623.244000,5415
623.092000,5351
622.941000,5397
622.789000,5326
622.637000,5526
622.485000,5635
622.334000,5383
622.182000,5453
622.030000,5376
621.878000,5423
621.727000,5551
621.575000,5590
621.423000,5678
621.271000,5442
621.120000,5366
620.968000,5371
620.816000,5450
620.664000,5390
620.513000,5142
620.361000,5221
620.209000,5249
620.057000,5427
619.906000,5419
619.754000,5369
619.602000,5451
619.450000,5442
619.299000,5309
619.147000,5249
618.995000,5330
618.843000,5270
618.692000,5218
618.540000,5296
618.388000,5475
618.236000,5361
618.085000,5182
617.933000,5474
617.781000,5386
617.629000,5363
617.478000,5528
617.326000,5617
617.174000,5710
617.022000,5389
616.871000,5251
616.719000,5240
616.567000,5434
616.415000,5455
616.264000,5276
616.112000,5168
615.960000,5630
615.808000,5497
615.657000,5299
615.505000,5349
615.353000,5339
615.201000,5291
615.050000,5564
614.898000,5566
614.746000,5407
614.594000,5496
614.443000,5553
614.291000,5328
614.139000,5268
613.987000,5278
613.836000,5313
613.684000,5313
613.532000,5377
613.380000,5286
613.229000,5193
613.077000,5411
612.925000,5337
612.773000,5315
612.622000,5463
612.470000,5506
612.318000,5598
612.166000,5379
612.015000,5240
611.863000,5553
611.711000,5524
611.559000,5404
611.408000,5482
611.256000,5294
611.104000,5206
610.952000,5337
610.801000,5177
610.649000,5089
610.497000,5329
610.345000,5400
610.194000,5531
610.042000,5373
609.890000,5385
609.738000,5533
609.587000,5665
609.435000,5654
609.283000,5230
609.131000,5310
608.980000,5395
608.828000,5203
608.676000,5367
608.524000,5443
608.373000,5188
608.221000,5362
608.069000,5411
607.917000,5530
607.766000,5414
607.614000,5439
607.462000,5466
607.310000,5512
607.159000,5459
607.007000,5428
606.855000,5486
606.703000,5514
606.552000,5409
606.400000,5292
606.248000,5456
606.096000,5470
605.944000,5427
605.793000,5362
605.641000,5423
605.489000,5301
605.337000,5273
605.186000,5180
605.034000,5516
604.882000,5432
604.730000,5218
604.579000,5428
604.427000,5305
604.275000,5349
604.123000,5318
603.972000,5194
603.820000,5337
603.668000,5436
603.516000,5306
603.365000,5253
603.213000,5348
603.061000,5454
602.909000,5353
602.758000,5355
602.606000,5583
602.454000,5335
602.302000,5191
602.151000,5314
601.999000,5415
601.847000,5445
601.695000,5178
601.544000,5045
601.392000,5129
601.240000,5229
601.088000,5419
600.937000,5636
600.785000,5587
600.633000,5283
600.481000,5396
600.330000,5264
600.178000,5223
600.026000,5171
599.874000,5180
599.723000,5426
599.571000,5454
599.419000,5394
599.267000,5262
599.116000,5322
598.964000,5532
598.812000,5373
598.660000,5194
598.509000,5006
598.357000,5318
598.205000,5564
598.053000,5655
597.902000,5593
597.750000,5239
597.598000,5223
597.446000,5281
597.295000,5459
597.143000,5614
596.991000,5527
596.839000,5547
596.688000,5391
596.536000,5515
596.384000,5417
596.232000,5471
596.081000,5389
595.929000,5449
595.777000,5378
595.625000,5388
595.474000,5414
595.322000,5382
595.170000,5410
595.018000,5682
594.867000,5461
594.715000,5468
594.563000,5383
594.411000,5401
594.260000,5365
594.108000,5369
593.956000,5333
593.804000,5266
593.653000,5244
593.501000,5247
593.349000,5338
593.197000,5230
593.046000,5412
592.894000,5681
592.742000,5324
592.590000,5122
592.439000,5236
592.287000,5303
592.135000,5185
591.983000,5160
591.832000,5480
591.680000,5415
591.528000,5228
591.376000,5103
591.225000,5196
591.073000,5147
590.921000,5473
590.769000,5727
590.618000,5252
590.466000,5232
590.314000,5392
590.162000,5376
590.011000,5428
589.859000,5354
589.707000,5379
589.555000,5261
589.404000,5364
589.252000,5279
589.100000,5272
588.948000,5204
588.797000,5174
588.645000,5270
588.493000,5229
588.341000,5346
588.190000,5555
588.038000,5351
587.886000,5252
587.734000,5254
587.583000,5218
587.431000,5209
587.279000,5307
587.127000,5440
586.976000,5350
586.824000,5295
586.672000,5491
586.520000,5353
586.369000,5323
586.217000,5323
586.065000,5463
585.913000,5443
585.762000,5427
585.610000,5473
585.458000,5376
585.306000,5282
585.155000,5554
585.003000,5445
584.851000,5372
584.699000,5417
584.548000,5382
584.396000,5341
584.244000,5404
584.092000,5066
583.941000,5206
583.789000,5197
583.637000,5212
583.485000,5390
583.334000,5449
583.182000,5303
583.030000,5268
582.878000,5125
582.727000,5128
582.575000,5296
582.423000,5423
582.271000,5380
582.120000,5320
581.968000,5231
581.816000,5373
581.664000,5258
581.513000,5258
581.361000,5105
581.209000,4996
581.057000,5101
580.906000,5289
580.754000,5194
580.602000,5107
580.450000,5318
580.299000,5428
580.147000,5458
579.995000,5321
579.843000,5293
579.692000,5406
579.540000,5347
579.388000,5383
579.236000,5363
579.085000,5379
578.933000,5294
578.781000,5292
578.629000,5287
578.478000,5175
578.326000,5047
578.174000,5400
578.022000,5346
577.871000,5129
577.719000,5240
577.567000,5365
577.415000,5210
577.264000,5174
577.112000,5279
576.960000,5347
576.811000,5453
576.662000,5276
576.512000,5207
576.363000,5227
576.214000,5189
576.065000,5136
575.915000,5230
575.766000,5451
575.617000,5556
575.468000,5687
575.318000,5422
575.169000,5211
575.020000,5257
574.871000,5273
574.722000,5250
574.572000,5237
574.423000,5265
574.274000,5325
574.125000,5523
573.975000,5425
573.826000,5151
573.677000,5309
573.528000,5427
573.379000,5336
573.229000,5420
573.080000,5345
572.931000,5318
572.782000,5259
572.632000,5327
572.483000,5658
572.334000,5585
572.185000,5366
572.036000,5350
571.886000,5308
571.737000,5350
571.588000,5378
571.439000,5298
571.289000,5345
571.140000,5325
570.991000,5399
570.842000,5260
570.692000,5359
570.543000,5284
570.394000,5243
570.245000,5302
570.096000,5182
569.946000,5454
569.797000,5305
569.648000,5384
569.499000,5518
569.349000,5298
569.200000,5130
569.051000,5236
568.902000,5315
568.753000,5287
568.603000,5375
568.454000,5329
568.305000,5174
568.156000,5337
568.006000,5259
567.857000,5262
567.708000,5379
567.559000,5478
567.409000,5302
567.260000,5134
567.111000,5304
566.962000,5296
566.813000,5266
566.663000,5315
566.514000,5312
566.365000,5270
566.216000,5346
566.066000,5288
565.917000,5236
565.768000,5353
565.619000,5356
565.470000,5257
565.320000,5409
565.171000,5483
565.022000,5315
564.873000,5260
564.723000,5222
564.574000,5160
564.425000,5402
564.276000,5387
564.126000,5342
563.977000,5250
563.828000,5176
563.679000,5064
563.530000,5346
563.380000,5325
563.231000,5322
563.082000,5227
562.933000,5132
562.783000,5354
562.634000,5371
562.485000,5134
562.336000,5337
562.187000,5471
